page_seq,house_seq,title,url,address,area_m2,bedrooms,en_suites,price,bathrooms,parking_spaces,type,street_name,street_number,condo_name,city
0,0,  Casa com 4 Quartos a Venda 380m2  ,www.vivareal.com.br/imovel/casa-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-380m2-venda-RS1400000-id-2484881791/," Estrada Doutor Yojiro Takaoka, 2165 - Aldeia da Serra, Barueri - SP ",380.0,4.0,3.0,1400000,4,3.0,Casa,Estrada Doutor Yojiro Takaoka,2165.0,,Barueri  SP
0,2,  Casa de condominio com 3 Quartos para VendaAluguel 275m2  ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-barueri-com-garagem-275m2-venda-RS1650000-id-2482351419/," Alameda Cardeal - Aldeia da Serra, Barueri - SP ",275.0,3.0,3.0,1650000,6,4.0,Casa,Alameda Cardeal,,,Barueri  SP
0,3,  Casa com 4 Quartos para VendaAluguel 209m2  ,www.vivareal.com.br/imovel/casa-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-209m2-venda-RS1200000-id-2482349810/," Alameda Canário - Aldeia da Serra, Barueri - SP ",209.0,4.0,2.0,1200000,4,2.0,Casa,Alameda Canário,,,Barueri  SP
0,4,  Casa de condominio com 3 Quartos a Venda 300m2  ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-barueri-com-garagem-300m2-venda-RS1200000-id-2483924229/," Alameda Sabiá - Aldeia da Serra, Barueri - SP ",300.0,3.0,3.0,1200000,5,4.0,Casa,Alameda Sabiá,,,Barueri  SP
0,5,  Casa de condominio com 4 Quartos a Venda 289m2  ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-289m2-venda-RS1250000-id-2482349967/," Alameda Canário - Aldeia da Serra, Barueri - SP ",289.0,4.0,2.0,1250000,6,4.0,Casa,Alameda Canário,,,Barueri  SP
0,6,  Casa com 5 Quartos a Venda 440m2  ,www.vivareal.com.br/imovel/casa-de-condominio-5-quartos-aldeia-da-serra-bairros-barueri-com-garagem-440m2-venda-RS3800000-id-2436026982/," Alameda Jagape - Aldeia da Serra, Barueri - SP ",440.0,5.0,5.0,3800000,7,3.0,Casa,Alameda Jagape,,,Barueri  SP
0,7,  Casa de condominio com 3 Quartos a Venda 400m2  ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-barueri-com-garagem-400m2-venda-RS1180000-id-2484234874/," Alameda Macuco - Aldeia da Serra, Barueri - SP ",400.0,3.0,3.0,1180000,4,4.0,Casa,Alameda Macuco,,,Barueri  SP
0,9,  Casa de condominio com 4 Quartos a Venda 440m2  ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-440m2-venda-RS2690000-id-2476330327/," Alameda Panema - Aldeia da Serra, Barueri - SP ",440.0,4.0,4.0,2690000,6,4.0,Casa,Alameda Panema,,,Barueri  SP
0,10,  Apartamento com 2 Quartos para VendaAluguel 66m2  ,www.vivareal.com.br/imovel/apartamento-2-quartos-aldeia-da-serra-bairros-barueri-66m2-venda-RS375000-id-2482781476/," Avenida Queimada - Aldeia da Serra, Barueri - SP ",66.0,2.0,1.0,375000,2,,Apartamento,Avenida Queimada,,,Barueri  SP
0,11,  Casa de condominio com 3 Quartos a Venda 340m2  ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-barueri-com-garagem-340m2-venda-RS2300000-id-2481111619/," Alameda Jari - Aldeia da Serra, Barueri - SP ",340.0,3.0,3.0,2300000,5,2.0,Casa,Alameda Jari,,,Barueri  SP
