page_seq,house_seq,title,url,address,area_m2,bedrooms,en_suites,price,bathrooms,parking_spaces,type,street_name,street_number,city,condo_name
0,0,                Casa de condominio com 5 Quartos a Venda 590m2            ,www.vivareal.com.br/imovel/casa-de-condominio-5-quartos-aldeia-da-serra-bairros-barueri-com-garagem-590m2-venda-RS1799000-id-2448438259/,"                Alameda Colibri - Aldeia da Serra, Barueri - SP              ",590.0,5.0,2.0,1799000,5.0,5.0,House,Alameda Colibri,,Barueri SP,Morada dos Pássaros
0,2,                Casa de condominio com 5 Quartos a Venda 560m2            ,www.vivareal.com.br/imovel/casa-de-condominio-5-quartos-aldeia-da-serra-bairros-barueri-com-garagem-560m2-venda-RS3300000-id-2455983124/,"                Avenida dos Lagos - Aldeia da Serra, Barueri - SP              ",560.0,5.0,5.0,3300000,5.0,6.0,House,Avenida dos Lagos,,Barueri SP,Morada dos Lagos
0,3,                Casa com 4 Quartos a Venda 380m2            ,www.vivareal.com.br/imovel/casa-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-380m2-venda-RS1400000-id-2484881791/,"                Estrada Doutor Yojiro Takaoka, 2165 - Aldeia da Serra, Barueri - SP              ",380.0,4.0,3.0,1400000,4.0,3.0,House,Estrada Doutor Yojiro Takaoka,2165.0,Barueri SP,Morada da Serra / Nuvens
0,4,                Casa com 5 Quartos a Venda 440m2            ,www.vivareal.com.br/imovel/casa-de-condominio-5-quartos-aldeia-da-serra-bairros-barueri-com-garagem-440m2-venda-RS3800000-id-2436026982/,"                Alameda Jagape - Aldeia da Serra, Barueri - SP              ",440.0,5.0,5.0,3800000,5.0,3.0,House,Alameda Jagape,,Barueri SP,Morada dos Lagos
0,5,                Casa com 4 Quartos a Venda 650m2            ,www.vivareal.com.br/imovel/casa-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-650m2-venda-RS2900000-id-2482351291/,"                Avenida dos Lagos - Aldeia da Serra, Barueri - SP              ",650.0,4.0,4.0,2900000,4.0,8.0,House,Avenida dos Lagos,,Barueri SP,Morada dos Lagos
0,6,                Casa com 4 Quartos a Venda 687m2            ,www.vivareal.com.br/imovel/casa-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-687m2-venda-RS3500000-id-2485185583/,"                Alameda Perseus - Aldeia da Serra, Barueri - SP              ",687.0,4.0,4.0,3500000,4.0,6.0,House,Alameda Perseus,,Barueri SP,Morada das Estrelas
0,7,                Casa de condominio com 4 Quartos a Venda 241m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-241m2-venda-RS1150000-id-2484838728/,"                Alameda Beija-Flor - Aldeia da Serra, Barueri - SP              ",241.0,4.0,2.0,1150000,4.0,4.0,House,Alameda BeijaFlor,,Barueri SP,Morada dos Pássaros
0,8,                Casa de condominio com 4 Quartos a Venda 289m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-289m2-venda-RS1250000-id-2482349967/,"                Alameda Canário - Aldeia da Serra, Barueri - SP              ",289.0,4.0,2.0,1250000,4.0,4.0,House,Alameda Canário,,Barueri SP,Morada dos Pássaros
0,10,                Casa de condominio com 4 Quartos a Venda 330m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-330m2-venda-RS1500000-id-2482351649/,"                Alameda das Camélias - Aldeia da Serra, Santana de Parnaíba - SP              ",330.0,4.0,4.0,1500000,4.0,1.0,House,Alameda das Camélias,,Santana de Parnaíba SP,Morada das Flores
0,11,                LoteTerreno    a Venda 384m2            ,www.vivareal.com.br/imovel/lote-terreno-aldeia-da-serra-bairros-barueri-384m2-venda-RS250000-id-2487830638/,"                Estrada Doutor Yojiro Takaoka, 2165 - Aldeia da Serra, Barueri - SP              ",384.0,,,250000,,,Allotment,Estrada Doutor Yojiro Takaoka,2165.0,Barueri SP,Morada da Serra / Nuvens
